car.Location.X,0.180000
car.Location.Y,0.000000
car.Location.Z,17.010000
car.LinearVelocity.X,0.000000
car.LinearVelocity.Y,0.000000
car.LinearVelocity.Z,8.320000
car.Quaternion.X,0.000003
car.Quaternion.Y,0.004815
car.Quaternion.Z,0.000003
car.Quaternion.W,0.999988
car.AngularVelocity.X,0.000000
car.AngularVelocity.Y,-0.000300
car.AngularVelocity.Z,0.000000
car.Wheel0.LocalRestPosition.X,51.250000
car.Wheel0.LocalRestPosition.Y,-25.900000
car.Wheel0.LocalRestPosition.Z,-6.000000
car.Wheel0.PresetRestPosition.X,51.250000
car.Wheel0.PresetRestPosition.Y,-25.900000
car.Wheel0.PresetRestPosition.Z,-6.000000
car.Wheel0.WheelRadius,12.500000
car.Wheel0.GetSuspensionDistance,-1.976743
car.Wheel1.LocalRestPosition.X,51.250000
car.Wheel1.LocalRestPosition.Y,25.900000
car.Wheel1.LocalRestPosition.Z,-6.000000
car.Wheel1.PresetRestPosition.X,51.250000
car.Wheel1.PresetRestPosition.Y,25.900000
car.Wheel1.PresetRestPosition.Z,-6.000000
car.Wheel1.WheelRadius,12.500000
car.Wheel1.GetSuspensionDistance,-1.976463
car.Wheel2.LocalRestPosition.X,-33.750000
car.Wheel2.LocalRestPosition.Y,-29.500000
car.Wheel2.LocalRestPosition.Z,-4.300000
car.Wheel2.PresetRestPosition.X,-33.750000
car.Wheel2.PresetRestPosition.Y,-29.500000
car.Wheel2.PresetRestPosition.Z,-4.300000
car.Wheel2.WheelRadius,15.000000
car.Wheel2.GetSuspensionDistance,-1.958416
car.Wheel3.LocalRestPosition.X,-33.750000
car.Wheel3.LocalRestPosition.Y,29.500000
car.Wheel3.LocalRestPosition.Z,-4.300000
car.Wheel3.PresetRestPosition.X,-33.750000
car.Wheel3.PresetRestPosition.Y,29.500000
car.Wheel3.PresetRestPosition.Z,-4.300000
car.Wheel3.WheelRadius,15.000000
car.Wheel3.GetSuspensionDistance,-1.958095
car.LocalCollisionExtent.X,59.003689
car.LocalCollisionExtent.Y,42.099705
car.LocalCollisionExtent.Z,18.079536
car.LocalCollisionOffset.X,13.875660
car.LocalCollisionOffset.Y,0.000000
car.LocalCollisionOffset.Z,20.754988
car.CarMesh.Translation.X,0.000000
car.CarMesh.Translation.Y,0.000000
car.CarMesh.Translation.Z,0.554878
