frame,input.bJump,input.bJumped,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
22,False,False,0.000000,0.000000,0.590000,0.000000,84.580002,2.960000,0.000000,407.529999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
23,False,False,0.000000,0.000000,0.610000,0.000000,87.930000,2.960000,0.000000,402.109985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
24,False,False,0.000000,0.000000,0.630000,0.000000,91.239998,2.960000,0.000000,396.690002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
25,False,False,0.000000,0.000000,0.650000,0.000000,94.500000,2.960000,0.000000,391.269989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
26,False,False,0.000000,0.000000,0.670000,0.000000,97.720001,2.960000,0.000000,385.850006,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
27,False,False,0.000000,0.000000,0.690000,0.000000,100.889999,2.960000,0.000000,380.429993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
28,False,False,0.000000,0.000000,0.710000,0.000000,104.019997,2.960000,0.000000,375.009979,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
29,False,False,0.000000,0.000000,0.730000,0.000000,107.099998,2.960000,0.000000,369.589996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
30,False,False,0.000000,0.000000,0.750000,0.000000,110.129997,2.960000,0.000000,364.169983,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
31,False,False,0.000000,0.000000,0.770000,0.000000,113.119995,2.960000,0.000000,358.750000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
32,False,False,0.000000,0.000000,0.790000,0.000000,116.059998,2.960000,0.000000,353.329987,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
33,False,False,0.000000,0.000000,0.810000,0.000000,118.959999,2.960000,0.000000,347.910004,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
34,False,False,0.000000,0.000000,0.830000,0.000000,121.809998,2.960000,0.000000,342.489990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
35,False,False,0.000000,0.000000,0.850000,0.000000,124.619995,2.960000,0.000000,337.070007,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
36,False,False,0.000000,0.000000,0.870000,0.000000,127.379997,2.960000,0.000000,331.649994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
37,False,False,0.000000,0.000000,0.890000,0.000000,130.099991,2.960000,0.000000,326.229980,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
38,False,False,0.000000,0.000000,0.910000,0.000000,132.770004,2.960000,0.000000,320.809998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
39,False,False,0.000000,0.000000,0.930000,0.000000,135.399994,2.960000,0.000000,315.389984,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
40,False,False,0.000000,0.000000,0.950000,0.000000,137.979996,2.960000,0.000000,309.970001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
41,False,False,0.000000,0.000000,0.970000,0.000000,140.520004,2.960000,0.000000,304.549988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
42,False,False,0.000000,0.000000,0.990000,0.000000,143.009995,2.960000,0.000000,299.130005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
43,False,False,0.000000,0.000000,1.010000,0.000000,145.459991,2.960000,0.000000,293.709991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
44,False,False,0.000000,0.000000,1.030000,0.000000,147.860001,2.960000,0.000000,288.290009,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
45,False,False,0.000000,0.000000,1.050000,0.000000,150.220001,2.960000,0.000000,282.869995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
46,False,False,0.000000,0.000000,1.070000,0.000000,152.529999,2.960000,0.000000,277.449982,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
47,False,False,0.000000,0.000000,1.090000,0.000000,154.800003,2.960000,0.000000,272.029999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
48,False,False,0.000000,0.000000,1.110000,0.000000,157.019989,2.960000,0.000000,266.609985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
49,False,False,0.000000,0.000000,1.130000,0.000000,159.199997,2.960000,0.000000,261.190002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
50,False,False,0.000000,0.000000,1.150000,0.000000,161.330002,2.960000,0.000000,255.769989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
51,False,False,0.000000,0.000000,1.170000,0.000000,163.419998,2.960000,0.000000,250.349991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
52,False,False,0.000000,0.000000,1.190000,0.000000,165.459991,2.960000,0.000000,244.929993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
53,False,False,0.000000,0.000000,1.210000,0.000000,167.459991,2.960000,0.000000,239.509995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
54,False,False,0.000000,0.000000,1.230000,0.000000,169.410004,2.960000,0.000000,234.089996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
55,False,False,0.000000,0.000000,1.250000,0.000000,171.319992,2.960000,0.000000,228.669998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
56,False,False,0.000000,0.000000,1.270000,0.000000,173.179993,2.960000,0.000000,223.250000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
57,False,False,0.000000,0.000000,1.290000,0.000000,175.000000,2.960000,0.000000,217.830002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,1.310000,0.000000,176.769989,2.960000,0.000000,212.409988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,1.330000,0.000000,178.489990,2.960000,0.000000,206.989990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,1.350000,0.000000,180.169998,2.960000,0.000000,201.569992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,1.370000,0.000000,181.800003,2.960000,0.000000,196.149994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,1.390000,0.000000,183.389999,2.960000,0.000000,190.729996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,1.410000,0.000000,184.929993,2.960000,0.000000,185.309998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,1.430000,0.000000,186.429993,2.960000,0.000000,179.889999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,1.450000,0.000000,187.879990,2.960000,0.000000,174.470001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,1.470000,0.000000,189.289993,2.960000,0.000000,169.050003,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,1.490000,0.000000,190.649994,2.960000,0.000000,163.629990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,1.510000,0.000000,191.970001,2.960000,0.000000,158.209991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,1.530000,0.000000,193.239990,2.960000,0.000000,152.789993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
70,False,False,0.000000,0.000000,1.550000,0.000000,194.470001,2.960000,0.000000,147.369995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,1.570000,0.000000,195.649994,2.960000,0.000000,141.949997,-0.001330,0.008548,-0.000305,0.999963,-0.320800,0.000000,-0.070400
72,False,False,0.000000,0.000000,1.590000,0.000000,196.789993,2.960000,0.000000,136.529999,-0.002608,0.008548,-0.000607,0.999960,-0.308000,0.000000,-0.069400
73,False,False,0.000000,0.000000,1.610000,0.000000,197.879990,2.960000,0.000000,131.110001,-0.003838,0.008548,-0.000904,0.999956,-0.295700,0.000000,-0.068400
74,False,False,0.000000,0.000000,1.630000,0.000000,198.929993,2.960000,0.000000,125.689995,-0.005020,0.008548,-0.001195,0.999950,-0.283900,0.000000,-0.067400
75,False,False,0.000000,0.000000,1.650000,0.000000,199.929993,2.960000,0.000000,120.269997,-0.006153,0.008548,-0.001481,0.999943,-0.272500,0.000000,-0.066400
76,False,False,0.000000,0.000000,1.670000,0.000000,200.889999,2.960000,0.000000,114.849998,-0.007243,0.008548,-0.001761,0.999936,-0.261600,0.000000,-0.065400
77,False,False,0.000000,0.000000,1.690000,0.000000,201.800003,2.960000,0.000000,109.430000,-0.008289,0.008548,-0.002037,0.999927,-0.251100,0.000000,-0.064400
78,False,False,0.000000,0.000000,1.710000,0.000000,202.669998,2.960000,0.000000,104.009995,-0.009293,0.008548,-0.002312,0.999918,-0.241000,0.000000,-0.063400
79,False,False,0.000000,0.000000,1.730000,0.000000,203.489990,2.960000,0.000000,98.589996,-0.010253,0.008548,-0.002581,0.999908,-0.231400,0.000000,-0.062400
80,False,False,0.000000,0.000000,1.750000,0.000000,204.269989,2.960000,0.000000,93.169998,-0.011175,0.008548,-0.002846,0.999897,-0.222100,0.000000,-0.061400
81,False,False,0.000000,0.000000,1.770000,0.000000,205.000000,2.960000,0.000000,87.750000,-0.012060,0.008548,-0.003105,0.999886,-0.213200,0.000000,-0.060500
82,False,False,0.000000,0.000000,1.790000,0.000000,205.690002,2.960000,0.000000,82.330002,-0.012912,0.008548,-0.003358,0.999874,-0.204700,0.000000,-0.059600
83,False,False,0.000000,0.000000,1.810000,0.000000,206.330002,2.960000,0.000000,76.909996,-0.013727,0.008548,-0.003612,0.999863,-0.196500,0.000000,-0.058700
84,False,False,0.000000,0.000000,1.830000,0.000000,206.929993,2.960000,0.000000,71.489998,-0.014509,0.008548,-0.003860,0.999851,-0.188600,0.000000,-0.057800
85,False,False,0.000000,0.000000,1.850000,0.000000,207.479996,2.960000,0.000000,66.070000,-0.015259,0.008548,-0.004103,0.999839,-0.181000,0.000000,-0.056900
86,False,False,0.000000,0.000000,1.870000,0.000000,207.989990,2.960000,0.000000,60.649998,-0.015982,0.008548,-0.004340,0.999826,-0.173700,0.000000,-0.056000
87,False,False,0.000000,0.000000,1.890000,0.000000,208.449997,2.960000,0.000000,55.230000,-0.016673,0.008548,-0.004578,0.999814,-0.166700,0.000000,-0.055100
88,False,False,0.000000,0.000000,1.910000,0.000000,208.869995,2.960000,0.000000,49.809998,-0.017336,0.008548,-0.004809,0.999801,-0.160000,0.000000,-0.054200
89,False,False,0.000000,0.000000,1.930000,0.000000,209.089996,2.960000,0.000000,26.949999,-0.017973,0.008548,-0.005036,0.999789,-0.153600,0.000000,-0.053300
90,False,False,0.000000,0.000000,1.950000,0.000000,209.190002,2.960000,0.000000,12.099999,-0.018588,0.008548,-0.005263,0.999777,-0.147400,0.000000,-0.052500
91,False,False,0.000000,0.000000,1.970000,0.000000,209.209991,2.960000,0.000000,2.440000,-0.019176,0.008548,-0.005484,0.999765,-0.141500,0.000000,-0.051700
92,False,False,0.000000,0.000000,1.990000,0.000000,209.179993,2.960000,0.000000,-3.830000,-0.019742,0.008548,-0.005700,0.999752,-0.135800,0.000000,-0.050900
93,False,False,0.000000,0.000000,2.010000,0.000000,209.110001,2.960000,0.000000,-7.900000,-0.020282,0.008548,-0.005915,0.999740,-0.130300,0.000000,-0.050100
94,False,False,0.000000,0.000000,2.030000,0.000000,209.019989,2.960000,0.000000,-10.550000,-0.020800,0.008548,-0.006126,0.999728,-0.125100,0.000000,-0.049300
95,False,False,0.000000,0.000000,2.050000,0.000000,208.919998,2.960000,0.000000,-12.270000,-0.021296,0.008548,-0.006331,0.999717,-0.120100,0.000000,-0.048500
96,False,False,0.000000,0.000000,2.070000,0.000000,208.809998,2.960000,0.000000,-13.389999,-0.021776,0.008548,-0.006536,0.999705,-0.115300,0.000000,-0.047700
97,False,False,0.000000,0.000000,2.090000,0.000000,208.690002,2.960000,0.000000,-14.120000,-0.022235,0.008548,-0.006735,0.999693,-0.110700,0.000000,-0.046900
98,False,False,0.000000,0.000000,2.110000,0.000000,208.569992,2.960000,0.000000,-14.589999,-0.022677,0.008548,-0.006930,0.999682,-0.106200,0.000000,-0.046100
99,False,False,0.000000,0.000000,2.130000,0.000000,208.449997,2.960000,0.000000,-14.900000,-0.023098,0.008548,-0.007124,0.999671,-0.101900,0.000000,-0.045400
100,False,False,0.000000,0.000000,2.150000,0.000000,208.319992,2.960000,0.000000,-15.099999,-0.023503,0.008548,-0.007313,0.999660,-0.097800,0.000000,-0.044700
101,False,False,0.000000,0.000000,2.170000,0.000000,208.190002,2.960000,0.000000,-15.230000,-0.023891,0.008548,-0.007501,0.999650,-0.093900,0.000000,-0.044000
102,False,False,0.000000,0.000000,2.190000,0.000000,208.059998,2.960000,0.000000,-15.309999,-0.024263,0.008548,-0.007685,0.999639,-0.090100,0.000000,-0.043300
103,False,False,0.000000,0.000000,2.210000,0.000000,207.929993,2.960000,0.000000,-15.360000,-0.024625,0.008548,-0.007863,0.999629,-0.086500,0.000000,-0.042600
104,False,False,0.000000,0.000000,2.230000,0.000000,207.799988,2.960000,0.000000,-15.400000,-0.024970,0.008548,-0.008041,0.999619,-0.083000,0.000000,-0.041900
105,False,False,0.000000,0.000000,2.250000,0.000000,207.669998,2.960000,0.000000,-15.420000,-0.025299,0.008548,-0.008214,0.999610,-0.079700,0.000000,-0.041200
106,False,False,0.000000,0.000000,2.270000,0.000000,207.539993,2.960000,0.000000,-15.429999,-0.025617,0.008548,-0.008386,0.999600,-0.076500,0.000000,-0.040500
107,False,False,0.000000,0.000000,2.290000,0.000000,207.409988,2.960000,0.000000,-15.440000,-0.025919,0.008548,-0.008553,0.999591,-0.073400,0.000000,-0.039800
108,False,False,0.000000,0.000000,2.310000,0.000000,207.279999,2.960000,0.000000,-15.450000,-0.026211,0.008548,-0.008721,0.999582,-0.070400,0.000000,-0.039100
109,False,False,0.000000,0.000000,2.330000,0.000000,207.149994,2.960000,0.000000,-15.450000,-0.026491,0.008548,-0.008883,0.999573,-0.067600,0.000000,-0.038500
110,False,False,0.000000,0.000000,2.350000,0.000000,207.019989,2.960000,0.000000,-15.450000,-0.026761,0.008548,-0.009044,0.999564,-0.064900,0.000000,-0.037900
111,False,False,0.000000,0.000000,2.370000,0.000000,206.889999,2.960000,0.000000,-15.450000,-0.027020,0.008548,-0.009201,0.999556,-0.062300,0.000000,-0.037300
112,False,False,0.000000,0.000000,2.390000,0.000000,206.759995,2.960000,0.000000,-15.450000,-0.027268,0.008548,-0.009357,0.999548,-0.059800,0.000000,-0.036700
113,False,False,0.000000,0.000000,2.410000,0.000000,206.629990,2.960000,0.000000,-15.450000,-0.027505,0.008548,-0.009508,0.999540,-0.057400,0.000000,-0.036100
114,False,False,0.000000,0.000000,2.430000,0.000000,206.500000,2.960000,0.000000,-15.450000,-0.027732,0.008548,-0.009659,0.999532,-0.055100,0.000000,-0.035500
115,False,False,0.000000,0.000000,2.450000,0.000000,206.369995,2.960000,0.000000,-15.450000,-0.027953,0.008548,-0.009805,0.999525,-0.052900,0.000000,-0.034900
116,False,False,0.000000,0.000000,2.470000,0.000000,206.239990,2.960000,0.000000,-15.450000,-0.028164,0.008548,-0.009951,0.999517,-0.050800,0.000000,-0.034300
117,False,False,0.000000,0.000000,2.490000,0.000000,206.110001,2.960000,0.000000,-15.450000,-0.028363,0.008548,-0.010091,0.999510,-0.048700,0.000000,-0.033700
118,False,False,0.000000,0.000000,2.510000,0.000000,205.979996,2.960000,0.000000,-15.450000,-0.028557,0.008548,-0.010231,0.999503,-0.046700,0.000000,-0.033100
119,False,False,0.000000,0.000000,2.530000,0.000000,205.849991,2.960000,0.000000,-15.450000,-0.028741,0.008548,-0.010366,0.999497,-0.044800,0.000000,-0.032500
120,False,False,0.000000,0.000000,2.550000,0.000000,205.720001,2.960000,0.000000,-15.450000,-0.028919,0.008548,-0.010501,0.999490,-0.043000,0.000000,-0.031900
121,False,False,0.000000,0.000000,2.570000,0.000000,205.589996,2.960000,0.000000,-15.450000,-0.029092,0.008548,-0.010636,0.999484,-0.041200,0.000000,-0.031400
122,False,False,0.000000,0.000000,2.590000,0.000000,205.459991,2.960000,0.000000,-15.450000,-0.029253,0.008548,-0.010765,0.999477,-0.039500,0.000000,-0.030900
123,False,False,0.000000,0.000000,2.610000,0.000000,205.330002,2.960000,0.000000,-15.450000,-0.029410,0.008548,-0.010895,0.999471,-0.037900,0.000000,-0.030400
124,False,False,0.000000,0.000000,2.630000,0.000000,205.199997,2.960000,0.000000,-15.450000,-0.029561,0.008548,-0.011019,0.999466,-0.036300,0.000000,-0.029900
125,False,False,0.000000,0.000000,2.650000,0.000000,205.069992,2.960000,0.000000,-15.450000,-0.029707,0.008548,-0.011143,0.999460,-0.034800,0.000000,-0.029400
126,False,False,0.000000,0.000000,2.670000,0.000000,204.940002,2.960000,0.000000,-15.450000,-0.029847,0.008548,-0.011267,0.999454,-0.033400,0.000000,-0.028900
127,False,False,0.000000,0.000000,2.690000,0.000000,204.809998,2.960000,0.000000,-15.450000,-0.029982,0.008548,-0.011386,0.999449,-0.032000,0.000000,-0.028400
128,False,False,0.000000,0.000000,2.710000,0.000000,204.679993,2.960000,0.000000,-15.450000,-0.030111,0.008548,-0.011504,0.999444,-0.030700,0.000000,-0.027900
129,False,False,0.000000,0.000000,2.730000,0.000000,204.550003,2.960000,0.000000,-15.450000,-0.030235,0.008548,-0.011618,0.999439,-0.029400,0.000000,-0.027400
130,False,False,0.000000,0.000000,2.750000,0.000000,204.419998,2.960000,0.000000,-15.450000,-0.030354,0.008548,-0.011731,0.999434,-0.028200,0.000000,-0.026900
131,False,False,0.000000,0.000000,2.770000,0.000000,204.289993,2.960000,0.000000,-15.450000,-0.030467,0.008548,-0.011844,0.999429,-0.027000,0.000000,-0.026400
132,False,False,0.000000,0.000000,2.790000,0.000000,204.159988,2.960000,0.000000,-15.450000,-0.030575,0.008548,-0.011952,0.999424,-0.025900,0.000000,-0.025900
133,False,False,0.000000,0.000000,2.810000,0.000000,204.029999,2.960000,0.000000,-15.450000,-0.030678,0.008548,-0.012060,0.999420,-0.024800,0.000000,-0.025400
134,False,False,0.000000,0.000000,2.830000,0.000000,203.899994,2.960000,0.000000,-15.450000,-0.030775,0.008548,-0.012163,0.999416,-0.023800,0.000000,-0.025000
135,False,False,0.000000,0.000000,2.850000,0.000000,203.769989,2.960000,0.000000,-15.450000,-0.030866,0.008548,-0.012265,0.999412,-0.022800,0.000000,-0.024600
136,False,False,0.000000,0.000000,2.870000,0.000000,203.639999,2.960000,0.000000,-15.450000,-0.030958,0.008548,-0.012368,0.999407,-0.021800,0.000000,-0.024200
137,False,False,0.000000,0.000000,2.890000,0.000000,203.509995,2.960000,0.000000,-15.450000,-0.031044,0.008548,-0.012470,0.999404,-0.020900,0.000000,-0.023800
138,False,False,0.000000,0.000000,2.910000,0.000000,203.379990,2.960000,0.000000,-15.450000,-0.031125,0.008548,-0.012567,0.999400,-0.020000,0.000000,-0.023400
139,False,False,0.000000,0.000000,2.930000,0.000000,203.250000,2.960000,0.000000,-15.450000,-0.031206,0.008548,-0.012664,0.999396,-0.019200,0.000000,-0.023000
140,False,False,0.000000,0.000000,2.950000,0.000000,203.119995,2.960000,0.000000,-15.450000,-0.031282,0.008548,-0.012761,0.999393,-0.018400,0.000000,-0.022600
141,False,False,0.000000,0.000000,2.970000,0.000000,202.989990,2.960000,0.000000,-15.450000,-0.031352,0.008548,-0.012853,0.999389,-0.017600,0.000000,-0.022200
142,False,False,0.000000,0.000000,2.990000,0.000000,202.860001,2.960000,0.000000,-15.450000,-0.031422,0.008548,-0.012945,0.999386,-0.016900,0.000000,-0.021800
143,False,False,0.000000,0.000000,3.010000,0.000000,202.729996,2.960000,0.000000,-15.450000,-0.031487,0.008548,-0.013037,0.999383,-0.016200,0.000000,-0.021400
144,False,False,0.000000,0.000000,3.030000,0.000000,202.599991,2.960000,0.000000,-15.450000,-0.031552,0.008548,-0.013123,0.999379,-0.015500,0.000000,-0.021000
145,False,False,0.000000,0.000000,3.050000,0.000000,202.470001,2.960000,0.000000,-15.450000,-0.031611,0.008548,-0.013209,0.999376,-0.014800,0.000000,-0.020600
146,False,False,0.000000,0.000000,3.070000,0.000000,202.339996,2.960000,0.000000,-15.450000,-0.031670,0.008548,-0.013296,0.999373,-0.014200,0.000000,-0.020200
147,False,False,0.000000,0.000000,3.090000,0.000000,202.209991,2.960000,0.000000,-15.450000,-0.031724,0.008548,-0.013376,0.999371,-0.013600,0.000000,-0.019800
148,False,False,0.000000,0.000000,3.110000,0.000000,202.080002,2.960000,0.000000,-15.450000,-0.031778,0.008548,-0.013457,0.999368,-0.013000,0.000000,-0.019400
149,False,False,0.000000,0.000000,3.130000,0.000000,201.949997,2.960000,0.000000,-15.450000,-0.031832,0.008548,-0.013538,0.999365,-0.012400,0.000000,-0.019000
150,False,False,0.000000,0.000000,3.150000,0.000000,201.779999,2.960000,0.000000,-20.859999,-0.031881,0.008548,-0.013619,0.999362,-0.011900,0.000000,-0.018700
151,False,False,0.000000,0.000000,3.170000,0.000000,201.559998,2.960000,0.000000,-26.269999,-0.031929,0.008548,-0.013695,0.999360,-0.011400,0.000000,-0.018400
152,False,False,0.000000,0.000000,3.190000,0.000000,201.300003,2.960000,0.000000,-31.679998,-0.031972,0.008548,-0.013770,0.999357,-0.010900,0.000000,-0.018100
153,False,False,0.000000,0.000000,3.210000,0.000000,200.989990,2.960000,0.000000,-37.090000,-0.032016,0.008548,-0.013846,0.999355,-0.010400,0.000000,-0.017800
154,False,False,0.000000,0.000000,3.230000,0.000000,200.639999,2.960000,0.000000,-42.500000,-0.032059,0.008548,-0.013921,0.999352,-0.009900,0.000000,-0.017500
155,False,False,0.000000,0.000000,3.250000,0.000000,200.239990,2.960000,0.000000,-47.910000,-0.032096,0.008548,-0.013991,0.999350,-0.009500,0.000000,-0.017200
156,False,False,0.000000,0.000000,3.270000,0.000000,199.800003,2.960000,0.000000,-53.320000,-0.032134,0.008548,-0.014062,0.999348,-0.009100,0.000000,-0.016900
157,False,False,0.000000,0.000000,3.290000,0.000000,199.309998,2.960000,0.000000,-58.730000,-0.032172,0.008548,-0.014132,0.999346,-0.008700,0.000000,-0.016600
158,False,False,0.000000,0.000000,3.310000,0.000000,198.779999,2.960000,0.000000,-64.139999,-0.032204,0.008548,-0.014202,0.999344,-0.008300,0.000000,-0.016300
159,False,False,0.000000,0.000000,3.330000,0.000000,198.199997,2.960000,0.000000,-69.549995,-0.032237,0.008548,-0.014267,0.999342,-0.007900,0.000000,-0.016000
160,False,False,0.000000,0.000000,3.350000,0.000000,197.580002,2.960000,0.000000,-74.959999,-0.032269,0.008548,-0.014331,0.999340,-0.007500,0.000000,-0.015700
161,False,False,0.000000,0.000000,3.370000,0.000000,196.909988,2.960000,0.000000,-80.369995,-0.032296,0.008548,-0.014396,0.999338,-0.007200,0.000000,-0.015400
162,False,False,0.000000,0.000000,3.390000,0.000000,196.199997,2.960000,0.000000,-85.779999,-0.032323,0.008548,-0.014461,0.999336,-0.006900,0.000000,-0.015100
